idcn,difficulty,learning_stage,prlm_resh,correct_cnt_first,hint_cnt
288,0.0,0.0,11,1,10
289,0.0,0.0,12,2,12
290,0.0,0.0,11,1,11
291,0.0,0.0,10,0,10
292,0.0,0.0,6,1,5
293,0.0,0.0,19,2,18
294,0.0,0.0,10,0,10
295,0.0,0.0,47,17,33
296,0.0,0.0,16,1,15
297,0.0,0.0,16,1,15
298,0.0,0.0,15,3,12
299,0.0,0.0,7,2,7
300,0.0,0.0,13,1,13
301,0.0,0.0,14,6,9
302,0.0,0.0,17,2,15
303,0.0,0.0,54,41,18
304,0.0,0.0,13,8,7
305,0.0,0.0,10,5,5
306,0.0,0.0,5,2,4
307,1.0,0.0,3,3,0
308,1.0,0.0,10,2,10
309,1.0,0.0,3,2,1
310,1.0,0.0,19,6,13
311,1.0,0.0,5,0,5
312,1.0,0.0,5,0,5
313,1.0,0.0,14,4,11
314,1.0,0.0,33,16,19
315,1.0,0.0,7,1,6
316,3.0,0.0,13,10,3
317,2.0,0.0,52,31,46
318,2.0,0.0,6,1,6
319,2.0,0.0,17,7,17
320,2.0,0.0,14,3,11
321,2.0,0.0,7,2,5
322,2.0,0.0,28,10,20
323,2.0,0.0,17,1,16
324,2.0,0.0,11,5,6
325,0.0,0.0,18,8,12
326,0.0,0.0,29,24,7
327,0.0,0.0,6,4,2
328,0.0,0.0,36,15,34
329,0.0,0.0,11,6,5
330,0.0,0.0,7,2,6
331,0.0,0.0,3,1,2
332,0.0,0.0,13,6,7
333,0.0,0.0,28,18,11
334,0.0,0.0,38,30,9
335,0.0,0.0,7,3,4
336,0.0,0.0,3,0,3
337,0.0,0.0,4,1,4
338,0.0,0.0,3,0,3
339,0.0,0.0,16,12,4
340,0.0,0.0,16,3,14
341,0.0,0.0,12,3,11
342,1.0,0.0,10,10,0
343,1.0,0.0,21,18,3
344,2.0,0.0,28,21,9
345,2.0,0.0,46,23,32
346,2.0,0.0,19,19,0
347,2.0,0.0,5,0,5
348,2.0,0.0,13,2,11
349,2.0,0.0,19,7,17
350,0.0,0.0,6,1,6
351,0.0,0.0,5,0,5
352,0.0,0.0,22,10,22
353,0.0,0.0,8,4,7
354,0.0,0.0,44,22,37
355,0.0,0.0,6,1,6
356,0.0,0.0,8,4,5
357,0.0,0.0,14,2,14
358,0.0,0.0,7,0,7
359,0.0,0.0,10,6,4
360,0.0,0.0,5,1,5
361,1.0,0.0,14,7,9
362,1.0,0.0,8,4,4
363,2.0,0.0,6,1,6
364,2.0,0.0,6,1,5
365,2.0,0.0,27,15,16
366,2.0,0.0,46,24,30
367,2.0,0.0,13,9,6
368,2.0,0.0,14,10,11
369,2.0,0.0,9,5,5
370,0.0,0.0,27,4,24
371,0.0,0.0,45,12,34
372,0.0,0.0,20,5,15
373,0.0,0.0,20,5,15
374,0.0,0.0,24,3,21
375,0.0,0.0,11,1,11
376,0.0,0.0,31,26,5
377,0.0,0.0,42,16,28
378,0.0,0.0,22,7,18
379,0.0,0.0,40,28,12
380,0.0,0.0,22,4,18
381,0.0,0.0,6,1,5
382,0.0,0.0,67,57,10
383,0.0,0.0,18,7,11
384,0.0,0.0,30,15,16
385,0.0,0.0,21,7,14
386,0.0,0.0,5,0,5
387,0.0,0.0,5,0,5
388,0.0,0.0,23,6,19
389,0.0,0.0,5,0,5
390,1.0,0.0,36,31,5
391,2.0,0.0,27,17,10
392,2.0,0.0,10,5,5
393,2.0,0.0,11,2,10
394,2.0,0.0,18,4,14
395,2.0,0.0,5,0,5
396,2.0,0.0,6,1,6
397,0.0,0.0,10,0,10
398,0.0,0.0,9,3,6
399,0.0,0.0,17,2,15
400,0.0,0.0,10,0,10
401,0.0,0.0,11,1,11
402,0.0,0.0,25,2,25
403,0.0,0.0,35,13,28
404,0.0,0.0,18,3,16
405,0.0,0.0,9,0,9
406,0.0,0.0,26,5,24
407,0.0,0.0,5,0,5
408,0.0,0.0,10,2,8
409,0.0,0.0,10,0,10
410,1.0,0.0,11,10,1
411,3.0,0.0,21,1,21
412,3.0,0.0,27,6,26
413,3.0,0.0,11,0,11
414,3.0,0.0,72,17,66
415,2.0,0.0,22,6,19
416,2.0,0.0,12,2,10
417,2.0,0.0,6,1,5
418,2.0,0.0,24,9,18
419,2.0,0.0,24,10,17
420,0.0,0.0,5,0,5
421,0.0,0.0,4,2,2
422,0.0,0.0,6,1,5
423,0.0,0.0,7,2,5
424,0.0,0.0,5,0,5
425,0.0,0.0,5,0,5
426,0.0,0.0,5,0,5
427,0.0,0.0,5,0,5
428,0.0,0.0,2,0,2
429,0.0,0.0,44,8,37
430,0.0,0.0,9,3,6
431,0.0,0.0,10,5,5
432,0.0,0.0,5,2,3
433,0.0,0.0,11,2,10
434,0.0,0.0,20,10,10
435,0.0,0.0,39,32,16
436,0.0,0.0,3,1,2
437,0.0,0.0,6,1,5
438,0.0,0.0,30,4,27
439,0.0,0.0,37,11,30
440,0.0,0.0,12,2,10
441,0.0,0.0,15,4,12
442,0.0,0.0,7,4,3
443,0.0,0.0,5,0,5
444,0.0,0.0,2,0,2
445,0.0,0.0,2,2,0
446,0.0,0.0,2,0,2
447,1.0,0.0,10,0,10
448,1.0,0.0,12,2,11
449,1.0,0.0,3,3,0
450,1.0,0.0,26,10,17
451,1.0,0.0,7,3,4
452,2.0,0.0,5,3,3
453,2.0,0.0,4,2,2
454,2.0,0.0,15,3,13
455,2.0,0.0,6,1,5
456,2.0,0.0,38,8,32
457,2.0,0.0,10,0,10
458,2.0,0.0,8,3,5
459,2.0,0.0,5,3,2
460,0.0,0.0,2,0,2
461,0.0,0.0,2,0,2
462,0.0,0.0,2,0,2
463,2.0,0.0,3,1,2
464,0.0,0.0,37,10,28
465,0.0,0.0,38,11,29
466,0.0,0.0,18,8,10
467,0.0,0.0,57,2,55
468,0.0,0.0,47,2,45
469,0.0,0.0,62,4,60
470,0.0,0.0,43,3,43
471,0.0,0.0,44,2,44
472,0.0,0.0,44,1,44
473,0.0,0.0,40,3,38
474,0.0,0.0,28,1,27
475,0.0,0.0,27,0,27
476,0.0,0.0,24,1,23
477,0.0,0.0,24,2,22
478,0.0,0.0,28,2,27
479,0.0,0.0,27,2,26
480,0.0,0.0,44,13,40
481,0.0,0.0,26,1,25
482,0.0,0.0,42,4,38
483,0.0,0.0,22,1,21
484,0.0,0.0,29,4,27
485,0.0,0.0,33,4,30
486,0.0,0.0,39,1,38
487,0.0,0.0,37,3,34
488,0.0,0.0,24,2,22
489,0.0,0.0,16,0,16
490,0.0,0.0,21,0,21
491,0.0,0.0,25,3,24
492,0.0,0.0,22,4,19
493,0.0,0.0,18,4,14
494,0.0,0.0,20,5,15
495,0.0,0.0,54,21,37
496,0.0,0.0,28,5,25
497,0.0,0.0,24,2,23
498,0.0,0.0,20,4,19
499,0.0,0.0,28,3,27
500,0.0,0.0,16,4,12
501,0.0,0.0,12,0,12
502,0.0,0.0,19,5,15
503,0.0,0.0,8,1,7
504,0.0,0.0,10,0,10
505,0.0,0.0,21,4,19
506,0.0,0.0,5,0,5
507,0.0,0.0,7,0,7
508,0.0,0.0,35,2,33
509,0.0,0.0,22,7,15
510,0.0,0.0,10,0,10
511,0.0,0.0,8,4,4
512,0.0,0.0,14,1,13
513,0.0,0.0,7,2,5
514,0.0,0.0,6,0,6
515,0.0,0.0,17,3,15
516,0.0,0.0,11,1,10
517,0.0,0.0,5,0,5
518,0.0,0.0,21,2,19
519,0.0,0.0,29,9,25
520,0.0,0.0,14,3,11
521,0.0,0.0,34,11,25
522,0.0,0.0,5,0,5
523,0.0,0.0,14,1,14
524,0.0,0.0,5,0,5
525,0.0,0.0,6,1,5
526,0.0,0.0,12,3,9
527,0.0,0.0,7,2,7
528,0.0,0.0,9,4,5
529,0.0,0.0,1,1,0
530,0.0,0.0,22,7,16
531,0.0,0.0,7,5,2
532,0.0,0.0,5,3,2
533,0.0,0.0,14,9,5
534,0.0,0.0,38,15,23
535,0.0,0.0,37,15,22
536,1.0,0.0,29,2,29
537,1.0,0.0,30,6,27
538,1.0,0.0,20,3,18
539,1.0,0.0,15,1,15
540,1.0,0.0,8,1,7
541,1.0,0.0,8,1,7
542,1.0,0.0,5,0,5
543,1.0,0.0,14,5,12
544,2.0,0.0,32,2,31
545,2.0,0.0,29,3,28
546,2.0,0.0,22,1,21
547,2.0,0.0,25,3,23
548,2.0,0.0,19,3,16
549,2.0,0.0,19,1,18
550,2.0,0.0,17,2,15
551,2.0,0.0,10,2,8
552,2.0,0.0,10,2,10
553,2.0,0.0,11,1,10
554,2.0,0.0,15,0,15
555,2.0,0.0,12,5,9
556,2.0,0.0,24,5,20
557,2.0,0.0,12,2,12
558,2.0,0.0,34,15,24
559,2.0,0.0,7,2,7
560,2.0,0.0,8,3,7
561,2.0,0.0,27,7,23
562,2.0,0.0,16,0,16
563,2.0,0.0,26,5,23
564,2.0,0.0,16,9,7
565,0.0,0.0,8,1,7
566,0.0,0.0,10,5,5
567,0.0,0.0,10,3,7
568,0.0,0.0,23,12,12
569,0.0,0.0,18,15,3
570,0.0,0.0,1,1,0
571,0.0,0.0,10,2,9
572,0.0,0.0,11,1,10
573,0.0,0.0,11,1,10
574,0.0,0.0,11,1,10
575,0.0,0.0,11,1,10
576,0.0,0.0,16,3,15
577,0.0,0.0,7,0,7
578,0.0,0.0,13,1,13
579,0.0,0.0,38,5,38
580,0.0,0.0,13,0,13
581,0.0,0.0,2,2,2
582,0.0,0.0,5,0,5
583,0.0,0.0,57,20,45
584,0.0,0.0,31,5,28
585,0.0,0.0,63,13,59
586,0.0,0.0,8,3,8
587,0.0,0.0,32,17,30
588,0.0,0.0,8,3,8
589,0.0,0.0,8,3,6
590,0.0,0.0,5,0,5
591,0.0,0.0,6,1,5
592,0.0,0.0,11,3,8
593,0.0,0.0,10,0,10
594,0.0,0.0,6,1,5
595,0.0,0.0,11,1,11
596,0.0,0.0,6,1,6
597,0.0,0.0,21,12,9
598,0.0,0.0,43,15,29
599,0.0,0.0,5,0,5
600,0.0,0.0,42,24,19
601,0.0,0.0,13,5,8
602,0.0,0.0,8,1,8
603,0.0,0.0,9,0,9
604,0.0,0.0,2,1,1
605,0.0,0.0,22,10,12
606,0.0,0.0,9,2,8
607,0.0,0.0,2,1,1
608,0.0,0.0,7,2,5
609,0.0,0.0,4,1,3
610,1.0,0.0,1,1,0
611,1.0,0.0,17,6,13
612,1.0,0.0,6,2,5
613,1.0,0.0,3,2,1
614,1.0,0.0,12,3,11
615,2.0,0.0,7,4,3
616,2.0,0.0,15,5,10
617,2.0,0.0,5,0,5
618,2.0,0.0,6,1,6
619,2.0,0.0,18,5,13
620,2.0,0.0,8,1,7
621,2.0,0.0,10,0,10
622,2.0,0.0,74,30,69
623,2.0,0.0,5,0,5
624,2.0,0.0,21,8,17
625,2.0,0.0,22,8,15
626,2.0,0.0,7,2,7
627,2.0,0.0,9,3,7
628,0.0,0.0,14,0,14
629,0.0,0.0,28,7,24
630,0.0,0.0,28,7,24
631,0.0,0.0,19,2,18
632,0.0,0.0,22,4,20
633,0.0,0.0,12,0,12
634,1.0,0.0,13,1,12
635,2.0,0.0,13,1,13
636,0.0,0.0,6,1,5
637,0.0,0.0,15,7,9
638,0.0,0.0,15,5,12
639,0.0,0.0,12,7,8
640,1.0,0.0,5,3,2
641,2.0,0.0,2,0,2
642,2.0,0.0,13,6,7
643,0.0,0.0,5,0,5
644,0.0,0.0,5,0,5
645,0.0,0.0,10,0,10
646,0.0,0.0,10,0,10
647,0.0,0.0,10,3,8
648,1.0,0.0,9,2,7
649,2.0,0.0,5,0,5
650,0.0,0.0,23,12,19
651,0.0,0.0,24,11,20
652,0.0,0.0,25,5,23
653,0.0,0.0,34,22,27
654,1.0,0.0,13,9,12
655,2.0,0.0,29,17,25
656,2.0,0.0,8,6,8
