,ucid,difficulty,subject,learning_stage,level1_id,level2_id,level3_id,level4_id,content_name
27,0f0BGV01H4RbdYLrd/fZN5enqRjIC7Bkzcoqxzgf0YA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,yAzQR919g6E/LcFFdUOg/UDlVYQtRNHvS19zOJV2V/o=,[Базовый] Умножение и деление: без скобок
28,M4lv3w3T20+Z1YcnIEUe/CKdA/ROAHdY/dmcaJTg0hA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,"[Базовый] Двухэтапная комбинация задач: комплексные упражнения на умножение и сложение и вычитание, деление и сложение и вычитание"
29,fBA/dR3/vn5rjFVbPKC9asCyTQ2ieY/iBYb1sqWO2oc=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,"[Базовый] Двухшаговая задача на умножение, сложение и вычитание"
30,LVQFQmyO5bd6aJa8iZwe04tHXH1gEaS9K+H5oxb8raU=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,"[Основной] Комбинация умножения, сложения и вычитания: без скобок"
31,Um/VucrWT3ytfnYCAhdIJf58cjByGJkSIPJrsdq3Z18=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,"[Основной] Комбинация умножения, сложения и вычитания: со скобками"
32,i0Z53FafHddw11FFfQ85WbBa2vs7zK8iD9q9iYEPjJk=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,"[Основной] Двухшаговая задача на деление, сложение и вычитание"
33,voVpsR3NChso9TsHdzn/OkPeLiymYrV3qu8Xe0PUOHg=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,[Основной] Сочетание деления и сложения и вычитания: без скобок
34,flzEj3Mnu3HFWNtkqEhaKk3L6u5aBJRuGGTTmNC1DR4=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,oAbT8WAKnWrrwoY6bzTkg5PYQ8Ii3KbFK9vzvT9I75o=,[Основной] Сочетание деления и сложения и вычитания: со скобками
35,HbzxHxzxJEcXXmpGxn6HVgsAeH82lubPagM1RpCsh8E=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,【Основные】Общие упражнения по четырем арифметическим операциям над целыми числами
36,GKsTLPdjoFT5L8MFLduUaKOBTgtAz0RjoP8E5qYsmF8=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,[Основные] Комбинация умножения и деления
37,tKPJ+aL8jZdRX7rLqbXvQRirJzPopGK2mxUlBEHW1aA=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,[Основные] Правила вычисления умножения и деления
38,z40HWZR+gOnq+/hu58VFytoZlZYp9/VyuyENVRGJ/OU=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,【Базовый】Конкатенация последовательных делений
39,PlMIYvc3fCsZ4pYDuAJK1ADA8SMuWLshZIh1bvsDgaY=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,[Основной] Четыре смешанных расчета
40,cWGivrZDSwN5LiL2G27HYCmyOuUeAhMIchLIraXiV8Q=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,【Базовый】Правило расчета непрерывного деления
41,375WTBbZdRYv/Jw/rnTv7auOCQAAiNliDREgtraOuH0=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,[Базовый] Задача трехшагового параллельного приложения
42,GcHA5YrQ/VZR/FtKlMu8Hmh6+nnO4U8azAFab0hzJQ4=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,【Основные】Понимание распределительного закона
43,BjRt9ztH0eQGaMBHEBW3d1dnrKlg/t9cOV//Lvar6Tw=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,【Основные】 Расчетные упражнения с использованием дистрибутивного закона
44,6UJI/nUJp0n771O8yxGM05XhkhXAfGhsT0DUpIRFFVQ=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,364ml6jwsO0pO5l86JBpC+KFYvYr7mn7S9gVuhoBnUE=,【Основные】 Комплексные упражнения по четырем арифметическим действиям с дробями и десятичными знаками
45,XPxKzkvjDB7yK2AQPahFqPB7cnoHs5/dy4T498HoX5M=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,364ml6jwsO0pO5l86JBpC+KFYvYr7mn7S9gVuhoBnUE=,"[Базовый] Четыре операции с дробями: сначала скобки, сначала умножение и деление, затем сложение и вычитание."
46,P9MBH2y9lTr+ueuFDr6VDrx3GSS1/MvPLRyklqdSyVM=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,364ml6jwsO0pO5l86JBpC+KFYvYr7mn7S9gVuhoBnUE=,[Основной] Четыре действия над дробями: распределительный закон
47,KDeSPE8wIGcwIv9i0sJixfdUBqBN8tnZI9NwJHm7n80=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,364ml6jwsO0pO5l86JBpC+KFYvYr7mn7S9gVuhoBnUE=,[Основные] Четыре действия над дробями: ассоциативный закон сложения
48,+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,364ml6jwsO0pO5l86JBpC+KFYvYr7mn7S9gVuhoBnUE=,[Базовый] Смешанный расчет сложения и вычитания дробей: последовательное вычитание двух чисел
49,Qfkdu0xMDo7ZKO14VkT7AmpqH0GnAvcprI5Fj+rC1u0=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,364ml6jwsO0pO5l86JBpC+KFYvYr7mn7S9gVuhoBnUE=,"[Базовый] Сложение и вычитание, смешанное вычисление дробей: Сложение и вычитание, смешанное"
50,COZ39Wo+uIUO2s7c2VGEHjJf6Vx0xifxVAiaeHtaTdk=,0.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,J7h/J2DAyPA0bQF0yKIT3xSLnNWYeu5zj9dAlyH7Wi0=,[Базовый] Представление чисел с помощью символов
51,bdWR70qmnAJIvbK4o/p60bDY5QbnX2vaRkVdg1s1DZk=,1.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,eqskaPeZ8bx/VzW4CFmsbbGikwBIf+4u4o78kmZkn+g=,【Дополнительно】Общие упражнения по четырем операциям с целыми числами
52,Rcsy5m8O7pQ3np5tv3eeCgGc7Vn9vqmoMEYbz1pB8pw=,3.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,2V9CXLXWTBWxheCIQr1EnQXofeiQVZHEYdJKxgsAHPo=,Двухшаговая задача на сложение и умножение
53,vj2oAek5lK+ewqbR0hgGrkyAZpWXIxl9Qt3HpVZVBK8=,2.0,math,0.0,aH0Dz0KdH9gio7rrcGRHvrmd9vcd/0WJbeEFB7qeUKA=,ICgke8JJv5eapCPwyj1aco8PEtoBkUbTZYIqxmYtqBk=,4cISKCt3nXWe4r6Q8bzjOiL2EYYsZyT6Z0mNNJckqEc=,+0nvuJnCA9OBBjgmRoBVmQh5y1Sq06vj0sVVpLppNC8=,"【Общие】Двухэтапные прикладные задачи - комплексные упражнения последовательного умножения, умножения и деления и последовательного деления"
