,timestamp_TW,uuid,ucid,upid,problem_number,exercise_problem_repeat_session,is_correct,total_sec_taken,total_attempt_cnt,used_hint_cnt,is_hint_used,level
43950,2019-01-15 20:15:00 UTC,7d++UMRHGrnoRmVXey3umeKlOwA22bCuSMbVGO9QKII=,2f91Isfs+HaZMyoefue8KM5T9TUHnyfMUs7lDEcsgWo=,73WBtrlEi07nFMRoRUAMrs5w7uSTEg3nf+MTzN8Foow=,5,1,1,7,1,3,0,0
44926,2019-01-28 14:30:00 UTC,CpNK/hTNlq7dqOZSBKUqfcTYT3fPYC568rnoqSgzyYA=,jYvdVag77CDUNkiDwDLBvSrc4nd+nxa7z/rWC6Iomhs=,eV2vbBl7liwkAfNfL7nl+xqeOjknPJlHgJ1Kc9qnPJQ=,1,1,0,41,1,0,1,0
44966,2019-01-28 14:30:00 UTC,CpNK/hTNlq7dqOZSBKUqfcTYT3fPYC568rnoqSgzyYA=,bY13RsIM2Xlj/qRBujFNedeCeDFFNKV1YUp+1kTLfAA=,aMHGX2qfFRrt5js7/ldY8NZqz9nmgo94EZShFPhgV6E=,1,1,0,42,1,0,1,0
47912,2019-01-28 13:45:00 UTC,CpNK/hTNlq7dqOZSBKUqfcTYT3fPYC568rnoqSgzyYA=,LCz/rIBPDjV+9tcB8P8On0xwPups1k9t8fcMBsc7rRs=,i094WOZxYHVxPccvtiGtxwfdi6A5qpHLbakR7C6v2Vo=,12,1,0,9,1,0,1,0
49060,2019-02-04 18:45:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,sbX37mPX7s12nP6ST0kOrlxn3LZ4PhWGqmgvpEIj6ng=,qygkQj5vAmhGz5oRYRUv52JFWFTw50JpYnTaL75gL30=,6,1,1,72,2,0,1,0
49865,2019-02-04 17:00:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,bhUhhAGCaQV/N1qvnzhpjaD7P2mfdt3aqOl/ctA5Ozg=,54BByo95+RiiTDDEP1eS6ndHtESc51BOD2d/bLEnZG4=,2,1,1,762,3,0,1,0
50145,2019-02-04 17:00:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,bhUhhAGCaQV/N1qvnzhpjaD7P2mfdt3aqOl/ctA5Ozg=,ZpO41kEYMvZlTgIlw2M1v3rDX8X7MRJxOKtlYxQyedQ=,1,1,0,169,1,0,1,0
50205,2019-02-06 13:45:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,eWpRAHAhJCaRg5/Ef0tTx92nWIJcHJaMTwQqvukQeoI=,/H+Lvh5Nr93IxSBD4rzBnw7gqOnPwXY73+VxrM2WSso=,1,1,0,321,1,0,1,0
51381,2019-02-09 14:45:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,VdTJh4gqiuieWVBpGE3s6ryFvNj23nOiYPW9JYaSq5o=,4,1,0,105,1,0,1,0
52244,2019-02-08 15:00:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,7+zCeocizYIObv87m8EGftFwibVwD/QmbxfbCVzvqmM=,+DKrMEjP6URAZ22dkbNC94iRwQ1UlFivCoCtIB2LmPk=,5,1,0,39,1,0,1,1
52498,2019-02-09 13:00:00 UTC,fUiuB7SPD9QYApc5GYqFs2+IdzYPILeKDL8HEdGc1ek=,v0QQMEqKJpDj2celSchjacrZA92MTrfjIWGDYbugu6k=,JY69zbuMW0R+p6XFXH1WzqgEdmb7rq2zyAfYbc6hTlw=,12,1,0,59,1,0,1,0
53524,2019-03-07 16:30:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,5hdoig9S5bMSEU8dY8iuOOHDxIhRszCyjA2j1+HvnCs=,L1Mw0CCNFUWc4SpuM5jaOoiLOzhzDFk13EnEeQFUYe4=,1,1,1,12,2,0,1,0
55279,2019-03-07 16:15:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,4O/bW47dO93OOFh+q3pUoZX5kXQfbqI8onvu0RriUbE=,dbjn8zjeaMpNPm18+BHgN9tVdGkDgVqDtOJOcQ6vmZM=,13,1,1,31,2,0,1,0
60379,2019-05-12 15:00:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,ncpSV/Tw2uD3d5TPnUjjXA+mqgn81thyxj8FxznUxZY=,6viZnVegHWVWBOwojEgNpynegNGe5I71yz7wK6gS2l0=,1,1,0,112,1,0,1,0
61231,2019-05-29 21:00:00 UTC,Dq4uCsNL9/pg7BcNMwuUB156IW9ELoXMZEBIxeBRhAs=,rzWpkZfVptJjhCtmA5xHgJIsAZQKyQ0mwHzaE2K/I9Y=,rmdqcNIKqoQBDP6UuEnjhgIL6vm+qw6zm5NOsyeFI1s=,20,2,0,18,1,0,1,1
61811,2019-05-02 21:00:00 UTC,DSlKztiNNxdail3Q5DfWzOe6Wt5/PNdBVPYDDP5twfk=,P9MBH2y9lTr+ueuFDr6VDrx3GSS1/MvPLRyklqdSyVM=,EE/clKTb5zYPjYJ9jiLSQALQXObNM9GxuGJEjkehsww=,11,1,0,42,1,0,1,2
61968,2019-05-09 14:30:00 UTC,egBmoioJTU2qgNm2Qn715iDOxSJzywPYbfBqbRxxkk8=,pSJuXwvC2oTnrfqrMjAbRaAk0H97orogNflqY6S8fvg=,V+OJGAtncxJmzPN8KfRxKqUkyPsWAq3JON6YDHI9CVI=,3,1,0,25,1,0,1,0
62391,2019-05-01 21:15:00 UTC,DSlKztiNNxdail3Q5DfWzOe6Wt5/PNdBVPYDDP5twfk=,XPxKzkvjDB7yK2AQPahFqPB7cnoHs5/dy4T498HoX5M=,ux06yb1uXVSEVXz7w3riK2SZrPun+xjENREzTEAUAX8=,14,1,0,9,1,0,1,0
66898,2019-06-06 16:15:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,W4l0TIo0YQXLT/c8/Uy7OLtElmNuNWPODI7HkJ0NaI0=,udl4HsbGr2oG00uHD/uo+AGw5iWzCOH64sy2Xsc3HHQ=,20,1,1,150,1,0,1,0
70723,2019-05-09 14:15:00 UTC,egBmoioJTU2qgNm2Qn715iDOxSJzywPYbfBqbRxxkk8=,TwWIHt3X4PpZYPEyrUAz/c+T7Wq73JD/n+6I2DKtKAw=,pNuh0NR3UKv3O9z4AxYW9VBx6Gr6L3NAHlUE1KhSPIY=,4,1,0,14,1,0,1,0
73315,2019-06-27 08:15:00 UTC,llR7iuPXJXXrJ0uyolSwJqzpNd5UODNL0gBKUjNtuE4=,GWrfasljlyqZ+UNT8MRgzzxZcKQFFHyQVMnG7T7Wre8=,cAG7QnVTNomxLWjt/Era8nscH3vMIE/A5AKjBJKmhhw=,38,2,0,11,1,0,1,4
74942,2019-06-09 09:30:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,fQzyhskPyJuzy8T0ZlA3yA5RZmMkumMtkKG/vC1KStg=,Wk4xxe1dD3h0ex2N+ZBQiI3r2XAvr07+IM++HYgmbuc=,1,1,1,26,1,0,1,0
75189,2019-06-03 20:00:00 UTC,4qTG7XqzmOWUpeIhEJ/eN05YJf0C9lxbxGPa7bUeGBQ=,3sOEuxGBKh09ZpcaBhWXk4+LY+clD2Zpu/qTcPUVkVc=,GvfT7/q4DpU9p+tZa6HL2sgJW7h6anXxk7XkMVRk5Vs=,7,1,0,47,1,0,1,0
77110,2019-06-16 13:00:00 UTC,ZHgqrRee0y5mhz0OIdkn3ZFhYxZBuvuy5xomjAik08k=,PqQyQvOjvvozBCtlR/0pL8uxhe0K63IPiKYCi1tDG1o=,F80i4frwlUPyjWehI764RoG6nzkEcPmKb6+1HcEJXHE=,7,1,0,23,1,0,1,1
80258,2019-07-24 23:45:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,SQMgGY6bpDnpHTx2hEwNomSPUK2IpSvmaAXUKpx7+pI=,nhVgu2Xbjv6K70n1d0FNxM3YB4eSXAalQ/ES4w9iQXI=,1,1,0,31,1,0,1,0
80668,2019-07-17 13:45:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,5gAwpmADo34wxzAw/auRsRgPsj+RvWPNWhOj3SdP0Ss=,snonEZbGjrW5LH0tDmQgvTQCIuPC/6eMLid0xjHnnXw=,49,4,0,23,1,0,1,1
84071,2019-07-24 23:45:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,SQMgGY6bpDnpHTx2hEwNomSPUK2IpSvmaAXUKpx7+pI=,H8CO1664dAjaE/3pp2cSwc8uQ0J+n2G33D5EjNigqu0=,3,1,0,63,1,0,1,0
85139,2018-08-16 09:00:00 UTC,+LOEhC1Af8u5reucTjugcN+qEoCecDA+jvHBpUSFJMY=,ptoq0DfX5wthTe3dAIOp8nh+CYffpkOTH0Y5myecBVc=,nlp5aG+0YmmoyW7oPxo4sw3tWrMSCdoRmt8K12Khq8c=,2,1,0,34,1,0,1,0
85817,2018-08-24 10:00:00 UTC,+LOEhC1Af8u5reucTjugcN+qEoCecDA+jvHBpUSFJMY=,5ONBvVe9aUAWqO62Iz9waAwTucWIMbiDHCrXaLI33gI=,+lunZiPdEc6eEiL1bZRr6kb7jQDcKDilR3nvd9HPKjg=,3,1,0,58,1,0,1,0
92348,2018-10-18 16:30:00 UTC,RQClWrR9KkuJcWnx4PtHsvWczNNjroerrNiZ9YlSf/Q=,uNJhNi/pUS9w/pd7eVnHXB9PvBDWWQQdf22l/K+jxW4=,bIxAcx0t++dTqHzGoE7ZhmsfXcXJPiASmG7fDLkV4MA=,2,1,1,140,2,4,0,0
93454,2018-10-02 20:00:00 UTC,fidgAQQ/v/ODc9VTaEz8O3pL51S3Y1jRJo+61zgNAgo=,8gP4KXoWBPXMgFg1cGnXshZYBZU+gowtj0kzfH3LDIo=,w9p8FJ2On6OUp60GSdlfQuTuH0jRZbaMghSj00NzAHU=,9,1,1,13,3,2,0,0
98452,2019-07-16 11:15:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,gliiTlfyUCiPV0Bw/cyii2nJhHT1CTDDMbOX5Hqt7Qw=,14,1,1,61,3,0,1,0
99444,2019-07-16 10:15:00 UTC,pRTY7OiXkQgj8/7ZJPx1LJDhVrgPIGK+79NqlRxu1R8=,v0kd17IRi6S3Pb5Go3lcsG8G+brOsfhuCLG95fqRhY0=,NmgfBPahEXC01wBKwIgYE5WLOzP/BpUN1S0/jJ1Yq3U=,30,1,0,18,1,0,1,4
102990,2019-07-18 12:45:00 UTC,SvusmYnf9tow5H+SosDDot10DuFHaoeZiK6bH1ZCRJA=,NbzNnWabooJ8J/09unhbUwFiH6Jr9Vv3VQwYF8cT2IY=,83XV9kjVjjmmEnY+oFVikslV62/WGxHyFuBDtp3/kBI=,3,1,0,48,1,0,1,0
104065,2018-08-26 16:15:00 UTC,TBw5tcYN6AoEttAz8F0+PqAy0Xdmpi3/sT8lJ0LRLSk=,EeAQRS+kGarrxqFWxO5U2lJ12zE7xgtIiHO9ojBNYpw=,TLG1K8QXbuKpqU63/paDPzOeMdDXAm4eEwY4jI/XXE0=,3,1,1,1,1,1,0,0
104913,2018-08-26 16:00:00 UTC,TBw5tcYN6AoEttAz8F0+PqAy0Xdmpi3/sT8lJ0LRLSk=,XG1pV3YZ4tnQkmvmVbwNYnm01m9sRhZovPW1qTPIGYI=,a2uFXIdq1j5bQ3CQ1lOm6aOj9NnxPsODhqcszR90X+k=,2,1,0,5,1,0,1,0
104922,2018-08-26 16:00:00 UTC,TBw5tcYN6AoEttAz8F0+PqAy0Xdmpi3/sT8lJ0LRLSk=,4p305X/NqL1Zx9j6BDJEpiQx090kFF3o/LTTGJt5s/E=,j/NnlTeofUfeATcREa3IrgKn3aiJk2qC/ESpX1Lih+s=,5,1,0,32,1,0,1,0
105719,2018-09-19 13:15:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,EH35TxVqqCRWfd7C+kBleb4yHsq1ycppE5AvnX+WQBE=,sSGkFDnJ9IksQiWhj4U14PH4/m8xc9oel0ppV1jyM/k=,5,1,1,25,2,1,0,0
106144,2018-09-22 12:00:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,clP2+ai8jg0m7J92YX2RrRzXyBa4jLyja5WruzDuOZ0=,IEYWdBwdJTjPeFuIuM+gcKsKqiN2TZ3lhmq2czr1JQM=,10,1,1,45,2,1,0,1
107970,2018-09-26 20:45:00 UTC,IAWYR42lDG0XufInjBh/g1uYDhBM7uuf9sGJeEO+LO4=,fbuOkTzKc7bABIGPJvp/bTmmesQeECfkMWrERS9NDEo=,j4d2zx0U/QO4mQDPeVMN5rzRJtH8z0PSICbNKP1PdrA=,21,1,0,31,1,0,1,2
110848,2018-10-23 16:30:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,rrZveAGxgrsKF1qL65AmLVqda8Zbg24xqWyj34qac9c=,eO77jtqV1NoAHmHavBrTJj081msB0AFESocTbDfSM6Y=,21,2,1,34,5,4,0,0
115307,2019-07-18 13:00:00 UTC,SvusmYnf9tow5H+SosDDot10DuFHaoeZiK6bH1ZCRJA=,NbzNnWabooJ8J/09unhbUwFiH6Jr9Vv3VQwYF8cT2IY=,UX4g95PxL5/3RScLAD1jVo0TG4SEbHJA56HRXf/ZPro=,8,1,1,77,2,1,0,1
116137,2019-07-24 13:15:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,HXnIAxmCDEWAJJV2J7f2pEeGvddv9MpcRjbckar9YTY=,tvXS6hz6XdlgPmxZs3jfoX+saIvfhCzq8/D4gzrULeI=,1,1,0,29,1,0,1,0
117564,2019-07-17 21:45:00 UTC,SvusmYnf9tow5H+SosDDot10DuFHaoeZiK6bH1ZCRJA=,fwR0w0LLlf3OriHwW2vIK3RiKD8gRLRfHC1T6kQhG0g=,q9wT4rGqcGTUM2W+9wv79vURQJX3LnAjR+LVjywAGBk=,2,1,0,19,1,0,1,0
118545,2019-07-24 13:15:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,HXnIAxmCDEWAJJV2J7f2pEeGvddv9MpcRjbckar9YTY=,CP2De1YWWWntP2o0uXB6JCy13sjzM53epKZfW8RTpks=,10,1,0,4,1,0,1,0
123001,2018-09-18 21:45:00 UTC,IAWYR42lDG0XufInjBh/g1uYDhBM7uuf9sGJeEO+LO4=,o/aHMWaMdC0+kGRlcK7UV02bbJaIcaE/j2nbSkgupxw=,ap2zOQws3Dgme771VQW3y3VLmChHoglgJ8PVzxtbklc=,1,1,1,14,2,2,0,0
124883,2018-09-30 10:00:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,PB+tEauJ6Cu8clF5IHjouv5FqEgH9UDWxbOqE+SBa50=,QeHODJiUvCsSvp1Kqss2LcGlIJ6NBFGFyg2WM7sDUvo=,7,1,0,11,1,0,1,0
129070,2018-10-23 16:30:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,rrZveAGxgrsKF1qL65AmLVqda8Zbg24xqWyj34qac9c=,13oRttSWlOlheJQwBu4DtMYQK70fdhQJ3I2Q36Mi06o=,25,2,1,10,4,4,0,0
129133,2018-10-03 17:00:00 UTC,wj3v8rvBQTpK8FK47OdZghF74bEXjBl1YLas/7+Wp+k=,DnZ+4F0wfZyawol4t+/bAvIm5PTPYUC/NSZakKr8g4I=,AEO7fHVnAT6bgC587yCJuHd+2k+IiCdIj8iOoTWHKmY=,11,1,1,88,5,2,0,0
131143,2018-10-15 22:30:00 UTC,DSlKztiNNxdail3Q5DfWzOe6Wt5/PNdBVPYDDP5twfk=,PDjFRBgq4c5rzxS6wQrkOkhNs3qKPZ35htxUocnuNEw=,0vkUOAcoQTKtglO/Q8OyxgS+BQK5Ngj33hntxI+y/1I=,8,1,0,22,1,0,1,1
131823,2019-07-21 16:45:00 UTC,SvusmYnf9tow5H+SosDDot10DuFHaoeZiK6bH1ZCRJA=,qPHR8aBqOhKij9IS/Y8IR8prwWruoDBGU1tVUhXDJkE=,rpagAjVDDNXkn6gbBAnT16WA+2U+J+vPbYFdS3537Ds=,1,1,1,76,1,1,0,0
133562,2019-07-20 12:15:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,6Y5XzaNnvoUiMar6dJzcl0gW14UUz60BXY0x7j2LqTc=,Yh6rx3bj34wngkLY+/Qu/qm+T5AVWulK+lLdjdJuw9M=,1,1,0,20,1,0,1,0
138134,2018-08-26 16:45:00 UTC,TBw5tcYN6AoEttAz8F0+PqAy0Xdmpi3/sT8lJ0LRLSk=,tPzc0JSXpr0JmIZKsEwoPNd7HYlbgErDMf2uJUXKJco=,8r/S4bz39szns3cJZGRYOKA4pf2VVRodx0ipHCWIWhY=,4,1,1,17,2,0,1,0
141119,2018-09-30 15:00:00 UTC,QCNXGnKbcSS9WfPo0QmpjND7JQWh9RPbBdqiuEiJ9Lk=,LpZS/GFsDGjF3rEt7YLZd8IYdScjZ5Z+5bJuJ/c2BZs=,i5ErunjJigtwXoIB7BZVBuZnx00NVOmncepKLDvy6wo=,1,1,0,73,1,0,1,0
141682,2018-09-26 16:45:00 UTC,wj3v8rvBQTpK8FK47OdZghF74bEXjBl1YLas/7+Wp+k=,kMuoC+eQQa4BoXGIOrWnpGSbT1PXLpzzyQcXgGIK8Us=,ngSVew1wvelRlJZ3K6culxDg+JuG8+AXgDsL+BpG5t4=,25,3,0,26,1,0,1,0
141712,2018-09-29 17:15:00 UTC,7d++UMRHGrnoRmVXey3umeKlOwA22bCuSMbVGO9QKII=,gwyAKrDd3r/aPElAq/97BWk1H4+bsSURhZI+O3WDwFY=,LdNcEKrMb+Ctx7zjlFJItM3ninYHIEzgLTiYD/5pU2U=,11,1,0,20,1,0,1,1
142177,2018-09-21 13:00:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,PGbCr6wCmzlyPoKCBQv8aOM0NW8HVk4PW+IU4iR6GRI=,s1LHKR2qoPiFgXPsY2gPIX6srrsJDTsw4mEUndbgxH8=,2,1,0,35,1,0,1,0
142875,2018-09-28 21:00:00 UTC,IAWYR42lDG0XufInjBh/g1uYDhBM7uuf9sGJeEO+LO4=,svTmVFY7kPYUWAdDc4l5Zaim90TY7RGkFLs/eaU4FVc=,zbBm8wFDUTZhjM5MDuhGv7ZYwfDpV9xTt5JGHuwRkCY=,5,1,0,10,1,0,1,1
145160,2018-10-09 17:00:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,nds7oVk2a6yC/6tk1sTPm75v/0ZPkvrJ00WGmYRciOI=,ObYZvmFK+UhWtJ94JI8LlOiPSE96sQsU/PdI1SW6XJ8=,12,1,1,100,2,1,0,0
147784,2018-10-24 16:30:00 UTC,+LOEhC1Af8u5reucTjugcN+qEoCecDA+jvHBpUSFJMY=,LABXrcnSSYw9D5Y6UesjShprnzk2yqms4v5kBAod3uI=,Yk6Of+1ZxGNMUBEM/ldWJhZPxZ2T4/MoBFvBoqB+mII=,1,1,0,76,1,0,1,0
149218,2018-10-18 16:30:00 UTC,RQClWrR9KkuJcWnx4PtHsvWczNNjroerrNiZ9YlSf/Q=,uNJhNi/pUS9w/pd7eVnHXB9PvBDWWQQdf22l/K+jxW4=,pT+d6CgYvuXMIeRIAAMqOHcGmAbgbiwdWXLkf4379mU=,6,1,0,16,1,0,1,0
152355,2019-04-28 13:45:00 UTC,4IEuyf0Q/ZcI814fUZCb2o72QEjynwbihuzd6AWSUZU=,TWogEjXZZBCw1gGUayarBvTA2viDN2Ly0/KsRLsP0rg=,1p/24ZeMkYgYdVOkMvOgIQhfXilz3sGu0VXQTY/OXAE=,5,1,0,94,1,0,1,1
155181,2019-05-08 09:15:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,UukST5Jm3oHVK7g3ktel5joKNlCYBQJIX/A+GOGyjG4=,VwZI4au2MNE7tgVJJQ2z1Jf8mnBA0pjw0+GpU85q6EU=,8,1,1,56,1,0,1,0
158980,2019-05-01 21:45:00 UTC,DSlKztiNNxdail3Q5DfWzOe6Wt5/PNdBVPYDDP5twfk=,KDeSPE8wIGcwIv9i0sJixfdUBqBN8tnZI9NwJHm7n80=,T69O208/AtLzI7kmwasyoUK0IVut43HYYtNLlxlZJSQ=,2,1,0,37,1,0,1,0
164529,2019-06-24 10:15:00 UTC,llR7iuPXJXXrJ0uyolSwJqzpNd5UODNL0gBKUjNtuE4=,GWrfasljlyqZ+UNT8MRgzzxZcKQFFHyQVMnG7T7Wre8=,gM+zwgEB0LwIMxAot7/DgAQANZSmr4AzEpIHpbh2h2Y=,29,2,0,6,1,0,1,3
164559,2019-06-03 16:45:00 UTC,25BBuM6hiBHNi3SIop1N3yVZcYwmSCrHoN5dnyt397I=,9x6ylQHM8NlCIaCOiZUyL0Y/WcL5HVFdi3T/TCdr9W8=,EcW1CeZFZLGbnnDhyLquymCGZauq++9gFBAlQa7lHQQ=,10,1,0,9,1,0,1,2
168342,2018-10-25 12:45:00 UTC,YlhDYVQs+h4fH/0ZkYUXVFmEGDAtnUVbk+veoR9PCR0=,jkqCQc81VUibgQkhHl//+5PRaSA68Wd3CxUPvlOv+Yo=,2oqz4j1v2X/8gsfs1KuBPo8w7nw4yk8r5nJkbP3iUoM=,20,1,0,8,1,0,1,0
171954,2018-11-06 16:15:00 UTC,9SgNlDjJycgGdjrzBt7AZBN6AFHupfn3ewBDfAWsNdQ=,IN2rf9N8yr1JT9tAJXei08vWhgCbmljAZ141KO0Bdto=,Kk8/7dLifEpunshNRoaeYeknMW1xUXDliav2T/mi8tQ=,3,1,1,7,1,4,0,0
174857,2018-11-21 18:45:00 UTC,Dq4uCsNL9/pg7BcNMwuUB156IW9ELoXMZEBIxeBRhAs=,65YgA0ahggSdeaYBdRl82v/AO+pGzmZFqsi8TTDiP3Y=,JjWuxX+Dp4Y9s30BGgiO+CGjcpOSWuSA5WM3y8ObV88=,16,2,0,25,1,0,1,1
